TimeStamp,empatica.acc.x,empatica.acc.y,empatica.acc.z,empatica.hr,empatica.bvp,empatica.eda,empatica.temp
2021-06-28 13:38:05.390625000,-42.0,18.5,44.5,81.7578125,-27.72,0.4990153125,33.23
2021-06-28 13:38:05.398437500,-41.5,18.75,44.75,81.75796875,-25.325,0.49889521875,33.23
2021-06-28 13:38:05.406250000,-41.0,19.0,45.0,81.75812499999999,-22.93,0.498775125,33.23
2021-06-28 13:38:05.414062500,-41.0,19.0,45.0,81.75828125,-19.795,0.49865503125,33.23
2021-06-28 13:38:05.421875000,-41.0,19.0,45.0,81.7584375,-16.66,0.4985349375,33.23
2021-06-28 13:38:05.429687500,-41.0,19.0,45.0,81.75859375,-13.215,0.49841484375,33.23
2021-06-28 13:38:05.437500000,-41.0,19.0,45.0,81.75874999999999,-9.77,0.49829475,33.23
2021-06-28 13:38:05.445312500,-41.25,19.0,45.0,81.75890625,-6.41,0.49817465625,33.23
2021-06-28 13:38:05.453125000,-41.5,19.0,45.0,81.7590625,-3.05,0.4980545625,33.23
2021-06-28 13:38:05.460937500,-41.75,19.0,45.0,81.75921875,-0.004999999999999893,0.49793446874999997,33.23
2021-06-28 13:38:05.468750000,-42.0,19.0,45.0,81.75937499999999,3.04,0.497814375,33.23
2021-06-28 13:38:05.476562500,-42.25,18.75,44.75,81.75953125,5.68,0.49769428125,33.23
2021-06-28 13:38:05.484375000,-42.5,18.5,44.5,81.7596875,8.32,0.4975741875,33.23
2021-06-28 13:38:05.492187500,-42.75,18.25,44.25,81.75984375,10.575,0.49745409375,33.23
2021-06-28 13:38:05.500000000,-43.0,18.0,44.0,81.75999999999999,12.83,0.497334,33.23
2021-06-28 13:38:05.507812500,-42.75,18.5,44.0,81.76015625,14.754999999999999,0.497494125,33.23
2021-06-28 13:38:05.515625000,-42.5,19.0,44.0,81.7603125,16.68,0.49765425,33.23
2021-06-28 13:38:05.523437500,-42.25,19.5,44.0,81.76046875,18.305,0.497814375,33.23
