timestamp,emotion
1633596707.28224,NEUTRAL
1633596751.56585,FEAR
1633596774.275279,FEAR
1633596793.507107,FEAR
1633596830.770395,FEAR
1633596977.7303,FEAR
1633597030.419653,FEAR
1633597050.962839,FEAR
1633597085.618872,FEAR
